草药名	contains序号	all序号
郁李仁	763	TCMBANKHE005877
鹤草芽	764	NA
柽柳	765	TCMBANKHE007380
关木通	766	TCMBANKHE004227
花蕊石	767	TCMBANKHE002899
大头陈	768	NA
枳壳	769	TCMBANKHE005239
千年健	770	TCMBANKHE005825
两面针	771	TCMBANKHE000810
黄藤	772	NA
车前	773	TCMBANKHE005404
两头尖	774	TCMBANKHE002499
矮地茶	775	TCMBANKHE004154
鬼箭羽	776	TCMBANKHE006914
紫金龙	777	NA
青蒿	778	TCMBANKHE006570
透骨草	779	TCMBANKHE005907
独活	780	TCMBANKHE008229
苦地丁	781	TCMBANKHE006167
浮小麦	782	TCMBANKHE002090
石楠	783	NA
蘑菇	784	TCMBANKHE004514
牛黄	785	TCMBANKHE008713
西洋参	786	TCMBANKHE004248
一枝黄花	787	TCMBANKHE004382
薏苡仁	788	TCMBANKHE003781
胡黄连	789	TCMBANKHE006991
橄榄	790	NA
茺蔚子	791	TCMBANKHE003426
麦冬	792	TCMBANKHE005294
马钱	793	TCMBANKHE002070
香附	794	TCMBANKHE008488
贯众	795	TCMBANKHE004110
柚	796	NA
望月砂	797	NA
五味子	798	TCMBANKHE006493
瓜蒌子	799	NA
秫米	800	NA
胆矾	801	TCMBANKHE008029
稻芽	802	TCMBANKHE001356
龙葵	803	TCMBANKHE003739
石膏	804	TCMBANKHE005223
大豆	805	TCMBANKHE007294
木鳖子	806	TCMBANKHE006079
紫苏梗	807	TCMBANKHE006772
羊蹄	808	TCMBANKHE006999
牡丹	809	NA
诃子	810	TCMBANKHE006576
